ID,Video_File,x,y,timestamp,Experience,action type,timing,sound type
1764449971347,output_with_sound_B_1_4.mp4,756,463,10.405,Experienced,slide,correct,environmental sound
1764449971347,output_with_sound_B_1_4.mp4,761,463,10.471,Experienced,slide,correct,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,841,492,11.791,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,844,490,11.955,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,855,503,11.988,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,863,514,12.022,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,865,519,12.055,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,865,527,12.088,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,860,532,12.122,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,847,538,12.155,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,828,543,12.188,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,815,543,12.222,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,804,543,12.255,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,793,532,12.288,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,793,527,12.322,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,793,519,12.355,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,801,506,12.388,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,823,495,12.422,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_2.mp4,839,492,12.455,Experienced,slide,incorrect,environmental sound
1764449971347,output_with_sound_B_1_3.mp4,1396,490,7.356,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1375,492,7.376,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1332,498,7.41,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1289,506,7.443,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1273,506,7.476,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1260,506,7.51,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1255,506,7.543,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1244,506,7.576,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1236,508,7.659,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1004,527,11.409,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,991,527,11.443,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,983,527,11.492,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,951,527,11.526,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,940,527,11.559,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,948,530,11.659,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1001,538,11.693,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1033,540,11.726,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1239,498,19.817,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1239,492,19.843,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1239,487,19.876,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1239,482,19.913,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1239,476,19.944,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1239,471,19.976,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1241,468,20.009,Experienced,slide,incorrect,instrumental sound
1764449971347,output_with_sound_B_1_3.mp4,1249,460,20.042,Experienced,slide,incorrect,instrumental sound
